OrderID,OrderDate,CustomerName,Segment,Region,Product,Category,Quantity,UnitPrice,UnitCost,Revenue,Cost,Profit,Status
ORD0045,2024-12-03,Bob Jones,Corporate,East,USB Hub,Accessories,5,39.99,18.0,199.95,90.0,109.95,Cancelled
ORD0046,2024-06-09,Diana Prince,Consumer,South,USB Hub,Accessories,4,39.99,18.0,159.96,72.0,87.96,Cancelled
ORD0047,2024-05-07,Alice Smith,Small Business,East,Monitor HD,Electronics,3,299.99,180.0,899.97,540.0,359.97,Cancelled
ORD0048,2024-01-27,Bob Jones,Consumer,South,Tablet Plus,Electronics,3,449.99,280.0,1349.97,840.0,509.97,Completed
ORD0049,2024-11-12,Charlie Brown,Small Business,West,Laptop Pro,Electronics,5,999.99,600.0,4999.95,3000.0,1999.95,Completed
ORD0050,2024-08-07,Noah Wilson,Consumer,South,Laptop Pro,Electronics,4,999.99,600.0,3999.96,2400.0,1599.96,Cancelled
ORD0051,2024-08-20,Eve Wilson,Consumer,North,Mouse Pro,Accessories,3,29.99,12.0,89.97,36.0,53.97,Cancelled
ORD0052,2024-04-25,Olivia Brown,Consumer,North,Tablet Plus,Electronics,4,449.99,280.0,1799.96,1120.0,679.96,Completed
ORD0053,2024-10-07,Jack Ryan,Small Business,South,Tablet Plus,Electronics,2,449.99,280.0,899.98,560.0,339.98,Completed
ORD0054,2024-10-14,Olivia Brown,Corporate,East,Tablet Plus,Electronics,2,449.99,280.0,899.98,560.0,339.98,Completed
ORD0055,2024-09-29,Henry Ford,Consumer,North,Desk Lamp,Office,2,59.99,28.0,119.98,56.0,63.98,Completed
ORD0056,2024-06-18,Grace Hopper,Corporate,East,Mouse Pro,Accessories,5,29.99,12.0,149.95,60.0,89.95,Completed
ORD0057,2024-11-11,Jack Ryan,Small Business,North,USB Hub,Accessories,5,39.99,18.0,199.95,90.0,109.95,Pending
ORD0058,2024-09-20,Noah Wilson,Corporate,West,Monitor HD,Electronics,1,299.99,180.0,299.99,180.0,119.99,Completed
ORD0059,2024-12-19,Bob Jones,Small Business,East,Headphones Max,Electronics,4,149.99,80.0,599.96,320.0,279.96,Completed
ORD0060,2024-03-03,Noah Wilson,Consumer,South,USB Hub,Accessories,2,39.99,18.0,79.98,36.0,43.98,Completed
ORD0061,2024-06-28,Jack Ryan,Corporate,East,Desk Lamp,Office,1,59.99,28.0,59.99,28.0,31.99,Completed
ORD0062,2024-09-20,Eve Wilson,Consumer,East,Wireless Keyboard,Accessories,1,49.99,25.0,49.99,25.0,24.99,Pending
ORD0063,2024-12-15,Olivia Brown,Small Business,East,Mouse Pro,Accessories,5,29.99,12.0,149.95,60.0,89.95,Pending
ORD0064,2024-04-15,Noah Wilson,Small Business,North,Smartphone X,Electronics,4,599.99,350.0,2399.96,1400.0,999.96,Completed
ORD0065,2024-08-16,Jack Ryan,Consumer,South,Desk Lamp,Office,2,59.99,28.0,119.98,56.0,63.98,Completed
ORD0066,2024-02-27,Jack Ryan,Consumer,East,Wireless Keyboard,Accessories,1,49.99,25.0,49.99,25.0,24.99,Completed
ORD0067,2024-08-24,Eve Wilson,Consumer,West,Mouse Pro,Accessories,1,29.99,12.0,29.99,12.0,17.99,Cancelled
ORD0068,2024-10-04,Maria Davis,Small Business,East,Headphones Max,Electronics,5,149.99,80.0,749.95,400.0,349.95,Pending
ORD0069,2024-03-26,Isla Fisher,Consumer,South,Desk Lamp,Office,3,59.99,28.0,179.97,84.0,95.97,Pending
ORD0070,2024-04-03,Noah Wilson,Corporate,West,Wireless Keyboard,Accessories,1,49.99,25.0,49.99,25.0,24.99,Cancelled
ORD0071,2024-12-06,Grace Hopper,Consumer,South,Desk Lamp,Office,2,59.99,28.0,119.98,56.0,63.98,Cancelled
ORD0072,2024-01-10,Frank Castle,Consumer,West,Headphones Max,Electronics,2,149.99,80.0,299.98,160.0,139.98,Completed
ORD0073,2024-09-06,Charlie Brown,Corporate,West,Monitor HD,Electronics,2,299.99,180.0,599.98,360.0,239.98,Completed
ORD0074,2024-01-04,Henry Ford,Small Business,South,Webcam HD,Accessories,5,79.99,40.0,399.95,200.0,199.95,Completed
ORD0075,2024-06-26,Charlie Brown,Consumer,North,Monitor HD,Electronics,4,299.99,180.0,1199.96,720.0,479.96,Cancelled
ORD0076,2024-04-10,Leo Garcia,Small Business,North,Tablet Plus,Electronics,3,449.99,280.0,1349.97,840.0,509.97,Completed
ORD0077,2024-02-12,Leo Garcia,Consumer,North,Webcam HD,Accessories,2,79.99,40.0,159.98,80.0,79.98,Pending
ORD0078,2024-08-29,Charlie Brown,Small Business,North,Smartphone X,Electronics,5,599.99,350.0,2999.95,1750.0,1249.95,Completed
ORD0079,2024-03-30,Noah Wilson,Corporate,East,Webcam HD,Accessories,5,79.99,40.0,399.95,200.0,199.95,Completed
ORD0080,2024-11-09,Eve Wilson,Corporate,North,Headphones Max,Electronics,4,149.99,80.0,599.96,320.0,279.96,Completed
ORD0081,2024-08-04,Eve Wilson,Consumer,North,Webcam HD,Accessories,4,79.99,40.0,319.96,160.0,159.96,Pending
ORD0082,2024-07-10,Charlie Brown,Consumer,East,Desk Lamp,Office,5,59.99,28.0,299.95,140.0,159.95,Pending
ORD0083,2024-04-05,Henry Ford,Small Business,South,Smartphone X,Electronics,1,599.99,350.0,599.99,350.0,249.99,Cancelled
ORD0084,2024-10-05,Isla Fisher,Small Business,North,Laptop Pro,Electronics,5,999.99,600.0,4999.95,3000.0,1999.95,Completed
ORD0085,2024-08-04,Frank Castle,Consumer,East,Laptop Pro,Electronics,4,999.99,600.0,3999.96,2400.0,1599.96,Completed
ORD0086,2024-08-20,Charlie Brown,Consumer,East,Laptop Pro,Electronics,4,999.99,600.0,3999.96,2400.0,1599.96,Pending
ORD0087,2024-05-23,Eve Wilson,Consumer,East,Monitor HD,Electronics,3,299.99,180.0,899.97,540.0,359.97,Pending
ORD0088,2024-02-22,Grace Hopper,Consumer,East,USB Hub,Accessories,4,39.99,18.0,159.96,72.0,87.96,Cancelled
ORD0089,2024-07-04,Grace Hopper,Corporate,East,Wireless Keyboard,Accessories,2,49.99,25.0,99.98,50.0,49.98,Completed
ORD0090,2024-08-02,Maria Davis,Small Business,East,Wireless Keyboard,Accessories,3,49.99,25.0,149.97,75.0,74.97,Completed
ORD0091,2024-09-09,Frank Castle,Small Business,South,USB Hub,Accessories,2,39.99,18.0,79.98,36.0,43.98,Cancelled
ORD0092,2024-10-09,Jack Ryan,Corporate,North,Webcam HD,Accessories,2,79.99,40.0,159.98,80.0,79.98,Cancelled
ORD0093,2024-05-15,Maria Davis,Consumer,South,Wireless Keyboard,Accessories,3,49.99,25.0,149.97,75.0,74.97,Pending
ORD0094,2024-10-27,Diana Prince,Corporate,West,Laptop Pro,Electronics,1,999.99,600.0,999.99,600.0,399.99,Completed
ORD0095,2024-07-20,Jack Ryan,Small Business,East,Mouse Pro,Accessories,3,29.99,12.0,89.97,36.0,53.97,Completed
ORD0096,2024-05-05,Jack Ryan,Consumer,East,Smartphone X,Electronics,4,599.99,350.0,2399.96,1400.0,999.96,Completed
ORD0097,2024-12-13,Noah Wilson,Consumer,East,Headphones Max,Electronics,1,149.99,80.0,149.99,80.0,69.99,Pending
ORD0098,2024-11-07,Alice Smith,Corporate,North,Laptop Pro,Electronics,1,999.99,600.0,999.99,600.0,399.99,Completed
ORD0099,2024-07-21,Leo Garcia,Consumer,West,Wireless Keyboard,Accessories,5,49.99,25.0,249.95,125.0,124.95,Completed
ORD0100,2024-02-16,Isla Fisher,Consumer,South,Tablet Plus,Electronics,4,449.99,280.0,1799.96,1120.0,679.96,Completed
ORD0101,2024-05-23,Grace Hopper,Consumer,East,Wireless Keyboard,Accessories,3,49.99,25.0,149.97,75.0,74.97,Pending
ORD0102,2024-06-04,Eve Wilson,Corporate,West,Desk Lamp,Office,4,59.99,28.0,239.96,112.0,127.96,Pending
ORD0103,2024-11-11,Bob Jones,Consumer,North,Desk Lamp,Office,2,59.99,28.0,119.98,56.0,63.98,Pending
ORD0104,2024-07-19,Alice Smith,Consumer,West,Mouse Pro,Accessories,1,29.99,12.0,29.99,12.0,17.99,Cancelled
ORD0105,2024-03-22,Charlie Brown,Consumer,East,Tablet Plus,Electronics,5,449.99,280.0,2249.95,1400.0,849.95,Completed
ORD0106,2024-11-07,Noah Wilson,Corporate,East,Smartphone X,Electronics,2,599.99,350.0,1199.98,700.0,499.98,Cancelled
ORD0107,2024-03-05,Bob Jones,Small Business,North,Wireless Keyboard,Accessories,1,49.99,25.0,49.99,25.0,24.99,Completed
ORD0108,2024-03-03,Isla Fisher,Corporate,East,Wireless Keyboard,Accessories,2,49.99,25.0,99.98,50.0,49.98,Completed
ORD0109,2024-04-07,Isla Fisher,Small Business,East,Laptop Pro,Electronics,5,999.99,600.0,4999.95,3000.0,1999.95,Completed
ORD0110,2024-07-15,Olivia Brown,Consumer,South,Wireless Keyboard,Accessories,4,49.99,25.0,199.96,100.0,99.96,Completed
ORD0111,2024-02-22,Eve Wilson,Corporate,South,Wireless Keyboard,Accessories,5,49.99,25.0,249.95,125.0,124.95,Completed
ORD0112,2024-03-18,Isla Fisher,Corporate,North,Laptop Pro,Electronics,5,999.99,600.0,4999.95,3000.0,1999.95,Completed
ORD0113,2024-10-14,Bob Jones,Small Business,West,Monitor HD,Electronics,1,299.99,180.0,299.99,180.0,119.99,Completed
ORD0114,2024-04-27,Charlie Brown,Small Business,South,Desk Lamp,Office,2,59.99,28.0,119.98,56.0,63.98,Pending
ORD0115,2024-08-09,Karen Page,Consumer,North,Laptop Pro,Electronics,4,999.99,600.0,3999.96,2400.0,1599.96,Cancelled
ORD0116,2024-03-15,Charlie Brown,Small Business,South,Wireless Keyboard,Accessories,2,49.99,25.0,99.98,50.0,49.98,Pending
ORD0117,2024-04-07,Bob Jones,Corporate,East,Smartphone X,Electronics,2,599.99,350.0,1199.98,700.0,499.98,Completed
ORD0118,2024-11-03,Isla Fisher,Corporate,North,Tablet Plus,Electronics,2,449.99,280.0,899.98,560.0,339.98,Pending
ORD0119,2024-02-20,Alice Smith,Consumer,North,Headphones Max,Electronics,2,149.99,80.0,299.98,160.0,139.98,Pending
ORD0120,2024-11-25,Alice Smith,Consumer,South,Desk Lamp,Office,1,59.99,28.0,59.99,28.0,31.99,Cancelled
ORD0121,2024-05-05,Karen Page,Small Business,West,Smartphone X,Electronics,5,599.99,350.0,2999.95,1750.0,1249.95,Completed
ORD0122,2024-05-30,Grace Hopper,Small Business,East,Tablet Plus,Electronics,1,449.99,280.0,449.99,280.0,169.99,Pending
ORD0123,2024-07-02,Isla Fisher,Small Business,West,Webcam HD,Accessories,4,79.99,40.0,319.96,160.0,159.96,Completed
ORD0124,2024-05-01,Charlie Brown,Small Business,North,Smartphone X,Electronics,5,599.99,350.0,2999.95,1750.0,1249.95,Cancelled
ORD0125,2024-06-18,Maria Davis,Corporate,North,Smartphone X,Electronics,4,599.99,350.0,2399.96,1400.0,999.96,Completed
ORD0126,2024-01-12,Jack Ryan,Corporate,South,Wireless Keyboard,Accessories,1,49.99,25.0,49.99,25.0,24.99,Completed
ORD0127,2024-03-13,Jack Ryan,Consumer,East,Desk Lamp,Office,5,59.99,28.0,299.95,140.0,159.95,Completed
ORD0128,2024-11-14,Maria Davis,Consumer,South,Mouse Pro,Accessories,3,29.99,12.0,89.97,36.0,53.97,Pending
ORD0129,2024-12-20,Maria Davis,Small Business,East,Laptop Pro,Electronics,1,999.99,600.0,999.99,600.0,399.99,Completed
ORD0130,2024-12-30,Jack Ryan,Corporate,East,Headphones Max,Electronics,2,149.99,80.0,299.98,160.0,139.98,Completed
ORD0131,2024-04-20,Grace Hopper,Corporate,East,Headphones Max,Electronics,3,149.99,80.0,449.97,240.0,209.97,Pending
ORD0132,2024-10-20,Charlie Brown,Small Business,East,Smartphone X,Electronics,2,599.99,350.0,1199.98,700.0,499.98,Completed
ORD0133,2024-01-28,Jack Ryan,Small Business,North,Headphones Max,Electronics,5,149.99,80.0,749.95,400.0,349.95,Completed
ORD0134,2024-05-05,Leo Garcia,Consumer,North,Headphones Max,Electronics,2,149.99,80.0,299.98,160.0,139.98,Cancelled
ORD0135,2024-03-08,Jack Ryan,Small Business,North,Monitor HD,Electronics,1,299.99,180.0,299.99,180.0,119.99,Cancelled
ORD0136,2024-04-20,Frank Castle,Corporate,East,Smartphone X,Electronics,4,599.99,350.0,2399.96,1400.0,999.96,Completed
ORD0137,2024-04-10,Frank Castle,Corporate,West,Tablet Plus,Electronics,2,449.99,280.0,899.98,560.0,339.98,Completed
ORD0138,2024-12-30,Frank Castle,Consumer,North,Webcam HD,Accessories,3,79.99,40.0,239.97,120.0,119.97,Completed
ORD0139,2024-07-16,Frank Castle,Small Business,West,Wireless Keyboard,Accessories,5,49.99,25.0,249.95,125.0,124.95,Pending
ORD0140,2024-09-03,Charlie Brown,Small Business,East,Webcam HD,Accessories,1,79.99,40.0,79.99,40.0,39.99,Cancelled
ORD0141,2024-08-07,Karen Page,Small Business,South,Monitor HD,Electronics,2,299.99,180.0,599.98,360.0,239.98,Completed
ORD0142,2024-03-02,Isla Fisher,Corporate,East,Webcam HD,Accessories,3,79.99,40.0,239.97,120.0,119.97,Completed
ORD0143,2024-06-21,Leo Garcia,Consumer,South,Webcam HD,Accessories,2,79.99,40.0,159.98,80.0,79.98,Completed
ORD0144,2024-10-01,Diana Prince,Consumer,West,Mouse Pro,Accessories,4,29.99,12.0,119.96,48.0,71.96,Completed
ORD0145,2024-05-21,Frank Castle,Consumer,South,Laptop Pro,Electronics,2,999.99,600.0,1999.98,1200.0,799.98,Completed
ORD0146,2024-09-15,Alice Smith,Corporate,South,Monitor HD,Electronics,5,299.99,180.0,1499.95,900.0,599.95,Completed
ORD0147,2024-06-20,Bob Jones,Consumer,West,Wireless Keyboard,Accessories,2,49.99,25.0,99.98,50.0,49.98,Completed
ORD0148,2024-11-14,Eve Wilson,Consumer,North,Monitor HD,Electronics,1,299.99,180.0,299.99,180.0,119.99,Completed
ORD0149,2024-04-03,Olivia Brown,Consumer,North,Webcam HD,Accessories,3,79.99,40.0,239.97,120.0,119.97,Pending
ORD0150,2024-05-16,Bob Jones,Small Business,East,Smartphone X,Electronics,5,599.99,350.0,2999.95,1750.0,1249.95,Completed
ORD0151,2024-11-15,Maria Davis,Small Business,North,Webcam HD,Accessories,4,79.99,40.0,319.96,160.0,159.96,Cancelled
ORD0152,2024-06-13,Eve Wilson,Small Business,East,Tablet Plus,Electronics,5,449.99,280.0,2249.95,1400.0,849.95,Completed
ORD0153,2024-08-24,Jack Ryan,Consumer,South,Monitor HD,Electronics,1,299.99,180.0,299.99,180.0,119.99,Completed
ORD0154,2024-01-23,Olivia Brown,Small Business,North,Mouse Pro,Accessories,1,29.99,12.0,29.99,12.0,17.99,Completed
ORD0155,2024-11-04,Henry Ford,Small Business,East,Laptop Pro,Electronics,1,999.99,600.0,999.99,600.0,399.99,Completed
ORD0156,2024-06-27,Henry Ford,Corporate,West,Mouse Pro,Accessories,3,29.99,12.0,89.97,36.0,53.97,Pending
ORD0157,2024-08-18,Karen Page,Consumer,South,Laptop Pro,Electronics,4,999.99,600.0,3999.96,2400.0,1599.96,Completed
ORD0158,2024-10-15,Noah Wilson,Corporate,South,Laptop Pro,Electronics,5,999.99,600.0,4999.95,3000.0,1999.95,Completed
ORD0159,2024-11-25,Alice Smith,Corporate,South,Wireless Keyboard,Accessories,3,49.99,25.0,149.97,75.0,74.97,Cancelled
ORD0160,2024-08-03,Diana Prince,Small Business,North,Monitor HD,Electronics,5,299.99,180.0,1499.95,900.0,599.95,Cancelled
ORD0161,2024-06-21,Bob Jones,Small Business,East,Monitor HD,Electronics,4,299.99,180.0,1199.96,720.0,479.96,Completed
ORD0162,2024-10-18,Jack Ryan,Small Business,East,Tablet Plus,Electronics,4,449.99,280.0,1799.96,1120.0,679.96,Cancelled
ORD0163,2024-09-10,Jack Ryan,Corporate,South,Monitor HD,Electronics,3,299.99,180.0,899.97,540.0,359.97,Completed
ORD0164,2024-04-13,Noah Wilson,Corporate,North,Desk Lamp,Office,5,59.99,28.0,299.95,140.0,159.95,Completed
ORD0165,2024-06-19,Leo Garcia,Consumer,West,Webcam HD,Accessories,4,79.99,40.0,319.96,160.0,159.96,Cancelled
ORD0166,2024-04-01,Olivia Brown,Corporate,North,Webcam HD,Accessories,2,79.99,40.0,159.98,80.0,79.98,Completed
ORD0167,2024-08-01,Karen Page,Small Business,North,Webcam HD,Accessories,1,79.99,40.0,79.99,40.0,39.99,Cancelled
ORD0168,2024-04-19,Diana Prince,Corporate,East,Wireless Keyboard,Accessories,2,49.99,25.0,99.98,50.0,49.98,Completed
ORD0169,2024-05-28,Olivia Brown,Consumer,North,Laptop Pro,Electronics,3,999.99,600.0,2999.97,1800.0,1199.97,Completed
ORD0170,2024-11-08,Eve Wilson,Corporate,North,Desk Lamp,Office,4,59.99,28.0,239.96,112.0,127.96,Completed
ORD0171,2024-03-30,Karen Page,Corporate,South,Monitor HD,Electronics,1,299.99,180.0,299.99,180.0,119.99,Completed
ORD0172,2024-01-17,Karen Page,Small Business,West,Smartphone X,Electronics,3,599.99,350.0,1799.97,1050.0,749.97,Completed
ORD0173,2024-06-28,Frank Castle,Consumer,West,Tablet Plus,Electronics,1,449.99,280.0,449.99,280.0,169.99,Completed
ORD0174,2024-03-03,Karen Page,Corporate,South,Laptop Pro,Electronics,5,999.99,600.0,4999.95,3000.0,1999.95,Pending
ORD0175,2024-02-18,Grace Hopper,Consumer,West,Smartphone X,Electronics,5,599.99,350.0,2999.95,1750.0,1249.95,Completed
ORD0176,2024-04-27,Frank Castle,Small Business,North,Laptop Pro,Electronics,4,999.99,600.0,3999.96,2400.0,1599.96,Completed
ORD0177,2024-08-11,Maria Davis,Corporate,East,Headphones Max,Electronics,1,149.99,80.0,149.99,80.0,69.99,Completed
ORD0178,2024-11-13,Noah Wilson,Consumer,North,Webcam HD,Accessories,3,79.99,40.0,239.97,120.0,119.97,Cancelled
ORD0179,2024-01-18,Alice Smith,Corporate,East,Webcam HD,Accessories,3,79.99,40.0,239.97,120.0,119.97,Completed
ORD0180,2024-04-22,Bob Jones,Corporate,South,Smartphone X,Electronics,4,599.99,350.0,2399.96,1400.0,999.96,Completed
ORD0181,2024-09-20,Maria Davis,Small Business,East,Monitor HD,Electronics,1,299.99,180.0,299.99,180.0,119.99,Completed
ORD0182,2024-06-10,Leo Garcia,Consumer,East,Desk Lamp,Office,2,59.99,28.0,119.98,56.0,63.98,Pending
ORD0183,2024-01-08,Alice Smith,Consumer,East,Smartphone X,Electronics,5,599.99,350.0,2999.95,1750.0,1249.95,Completed
ORD0184,2024-09-11,Maria Davis,Corporate,North,Webcam HD,Accessories,3,79.99,40.0,239.97,120.0,119.97,Cancelled
ORD0185,2024-04-06,Leo Garcia,Small Business,West,Tablet Plus,Electronics,3,449.99,280.0,1349.97,840.0,509.97,Completed
ORD0186,2024-06-13,Frank Castle,Consumer,South,Tablet Plus,Electronics,3,449.99,280.0,1349.97,840.0,509.97,Completed
ORD0187,2024-09-19,Alice Smith,Small Business,North,Headphones Max,Electronics,2,149.99,80.0,299.98,160.0,139.98,Completed
ORD0188,2024-10-11,Leo Garcia,Corporate,South,Tablet Plus,Electronics,4,449.99,280.0,1799.96,1120.0,679.96,Completed
ORD0189,2024-01-11,Jack Ryan,Small Business,South,Wireless Keyboard,Accessories,4,49.99,25.0,199.96,100.0,99.96,Completed
ORD0190,2024-01-20,Eve Wilson,Consumer,South,Headphones Max,Electronics,4,149.99,80.0,599.96,320.0,279.96,Completed
ORD0191,2024-12-20,Diana Prince,Corporate,South,Smartphone X,Electronics,5,599.99,350.0,2999.95,1750.0,1249.95,Pending
ORD0192,2024-07-20,Noah Wilson,Small Business,South,Webcam HD,Accessories,1,79.99,40.0,79.99,40.0,39.99,Completed
ORD0193,2024-07-27,Noah Wilson,Consumer,West,Smartphone X,Electronics,3,599.99,350.0,1799.97,1050.0,749.97,Completed
ORD0194,2024-09-02,Frank Castle,Small Business,South,USB Hub,Accessories,1,39.99,18.0,39.99,18.0,21.99,Pending
ORD0195,2024-01-29,Maria Davis,Corporate,East,Desk Lamp,Office,2,59.99,28.0,119.98,56.0,63.98,Cancelled
ORD0196,2024-05-07,Eve Wilson,Corporate,West,Mouse Pro,Accessories,2,29.99,12.0,59.98,24.0,35.98,Completed
ORD0197,2024-01-17,Eve Wilson,Consumer,South,Mouse Pro,Accessories,2,29.99,12.0,59.98,24.0,35.98,Completed
ORD0198,2024-12-27,Frank Castle,Consumer,East,Headphones Max,Electronics,5,149.99,80.0,749.95,400.0,349.95,Completed
ORD0199,2024-06-16,Bob Jones,Consumer,North,Mouse Pro,Accessories,3,29.99,12.0,89.97,36.0,53.97,Cancelled
ORD0200,2024-06-21,Alice Smith,Corporate,North,Headphones Max,Electronics,2,149.99,80.0,299.98,160.0,139.98,Pending
ORD0201,2024-11-05,Karen Page,Consumer,East,Desk Lamp,Office,2,59.99,28.0,119.98,56.0,63.98,Cancelled
ORD0202,2024-10-08,Maria Davis,Consumer,East,Monitor HD,Electronics,3,299.99,180.0,899.97,540.0,359.97,Completed
ORD0203,2024-07-05,Grace Hopper,Small Business,South,Monitor HD,Electronics,1,299.99,180.0,299.99,180.0,119.99,Completed
ORD0204,2024-11-07,Alice Smith,Corporate,West,Headphones Max,Electronics,5,149.99,80.0,749.95,400.0,349.95,Pending
ORD0205,2024-08-31,Karen Page,Consumer,South,Tablet Plus,Electronics,3,449.99,280.0,1349.97,840.0,509.97,Completed
ORD0206,2024-06-02,Bob Jones,Consumer,North,Smartphone X,Electronics,1,599.99,350.0,599.99,350.0,249.99,Completed
ORD0207,2024-05-08,Isla Fisher,Consumer,East,Webcam HD,Accessories,1,79.99,40.0,79.99,40.0,39.99,Completed
